Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.31407165527344,53665600,188.039,27.99,188.039,4.0005,196.04,180.038,185.40188558699478,186.56502644232393,-1.1631408553291465,-0.31884307342315366,-0.8442977819059928,181.55999755859375
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210938,182.07305908203125,41529700,187.396,26.6012,187.396,3.8218,195.0396,179.7524,184.92775046964462,186.25058058172357,-1.3228301120789467,-0.5196404811543123,-0.8031896309246345,182.32000732421875
2024-02-22,183.47999572753906,184.9600067138672,182.4600067138672,184.12026977539062,52292200,186.8895,32.4437,186.8895,3.4874,193.8643,179.9147,184.84194195388199,186.1112779547209,-1.269336000838905,-0.6695795850912309,-0.599756415747674,184.3699951171875
2024-02-23,185.00999450683594,185.0399932861328,182.22999572753906,182.2727813720703,45119700,186.307,30.8199,186.307,3.1654,192.6378,179.9762,184.48472077212492,185.8452576819609,-1.3605369098359859,-0.807771050040182,-0.5527658597958038,182.52000427246094
2024-02-26,182.24000549316406,182.75999450683594,180.64999389648438,180.9146270751953,40867400,185.744,31.2208,185.744,3.0189,191.7818,179.7062,183.97322583212252,185.49820182863857,-1.5249759965160479,-0.9512120393353553,-0.5737639571806926,181.16000366210938
2024-02-27,181.10000610351562,183.9199981689453,179.55999755859375,182.38262939453125,54318900,185.289,35.2081,185.289,2.7423,190.7736,179.8044,183.7665764553056,185.28574279561442,-1.5191663403088285,-1.0648028995300498,-0.45436344077877866,182.6300048828125
2024-02-28,182.50999450683594,183.1199951171875,180.1300048828125,181.17425537109375,48953900,184.958,38.2956,184.958,2.7919,190.5418,179.3742,183.40556441125017,184.9993913417871,-1.5938269305369204,-1.170607705731424,-0.42321922480549645,181.4199981689453
2024-02-29,181.27000427246094,182.57000732421875,179.52999877929688,180.5051727294922,136682600,184.7755,42.7894,184.7755,2.9453,190.6661,178.8849,182.99701604028863,184.68462161276582,-1.687605572477196,-1.2740072790805783,-0.4135982933966176,180.75
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.41665649414062,73488000,184.4155,34.9624,184.4155,3.1124,190.6403,178.1907,182.48362952056874,184.31242769049499,-1.8287981699262446,-1.3849654572497117,-0.4438327126765329,179.66000366210938
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,174.86282348632812,81510100,183.878,30.4474,183.878,3.7205,191.319,176.437,181.34768745640673,183.63002609145948,-2.282338635052753,-1.56444009281032,-0.7178985422424329,175.10000610351562
2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,169.8895721435547,95132400,183.0,21.3447,183.0,4.7151,192.4302,173.5698,179.62035017344994,182.6292830563282,-3.0089328828782698,-1.85333865082391,-1.1555942320543597,170.1199951171875
2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,168.8909149169922,68587700,181.991,16.3891,181.991,5.4047,192.8004,171.1816,178.00491093402493,181.6285950608363,-3.623684126811355,-2.207407746021399,-1.4162763807899559,169.1199951171875
2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,168.77108764648438,71765100,180.9705,16.0173,180.9705,5.8396,192.6497,169.2913,176.61954002109803,180.6931435748484,-4.07360355375036,-2.5806469075671914,-1.4929566461831683,169.0
2024-03-08,169.0,173.6999969482422,168.94000244140625,170.4987335205078,76114600,180.091,21.3237,180.091,5.9969,192.0848,168.0972,175.71345628362744,179.95513262319585,-4.241676339568414,-2.9128527939674362,-1.328823545600978,170.72999572753906
2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.51600646972656,60139500,179.286,24.9689,179.286,5.8377,190.9614,167.6106,175.25753993230012,179.42141909555173,-4.1638791632516075,-3.1630580678242706,-1.0008210954273369,172.75
2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,172.99534606933594,59825400,178.59,27.5048,178.59,5.6784,189.9468,167.2332,174.9456100546446,178.9627951423656,-4.017185087721003,-3.3338834718036177,-0.6833016159173857,173.22999572753906
2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,170.89820861816406,52488700,177.8945,27.5137,177.8945,5.6987,189.2919,166.4971,174.35859387436273,178.38258845647277,-4.023994582110049,-3.471905693864904,-0.5520888882451449,171.1300048828125
