Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close
2024-02-27,293.5,294.0,287.5,283.7208251953125,7324920,289.2,52.7778,289.2,4.0013,297.2026,281.1974,290.726032752464,291.6769081681696,-0.9508754157055819,-2.049597655048541,1.0987222393429592,289.0
2024-02-29,288.0,294.5,287.0,289.120361328125,8800844,289.375,52.4476,289.375,4.1577,297.6904,281.0596,291.30664309823874,291.88602608163853,-0.5793829833997961,-1.7555547207187923,1.1761717373189962,294.5
2024-03-01,295.0,295.5,291.0,288.13861083984375,5104529,289.375,50.0,289.375,4.1577,297.6904,281.0596,291.6440826215866,292.0055797052209,-0.36149708363427635,-1.4767431933018893,1.115246109667613,293.5
2024-03-04,295.0,297.0,293.5,288.13861083984375,15229456,289.6,53.4351,289.6,4.2569,298.1138,281.0862,291.9296083721118,292.11627750483416,-0.18666913272238617,-1.2187283811859886,1.0320592484636024,293.5
2024-03-05,292.0,294.0,289.0,285.19342041015625,9729251,289.925,55.1181,289.925,4.0499,298.0248,281.8252,291.70966862255614,291.99655324521683,-0.28688462266069337,-1.0323596294809296,0.7454750068202363,290.5
2024-03-06,290.0,296.5,289.0,289.6112365722656,8247652,290.3,55.814,290.3,4.1593,298.6186,281.9814,292.21587344985517,292.2190307826082,-0.0031573327530054485,-0.8265191701353448,0.8233618373823394,295.0
2024-03-07,296.5,300.0,296.0,291.5746765136719,9722159,290.5,53.2787,290.5,4.386,299.272,281.728,292.9518929191082,292.57317665056314,0.3787162685450767,-0.5854720823992605,0.9641883509443372,297.0
2024-03-08,296.5,314.5,296.5,306.3006896972656,34679985,291.8,68.8406,291.8,6.3813,304.5626,279.0374,295.8823709315531,294.01220060237324,1.8701703291798708,-0.09434360008343423,1.9645139292633051,312.0
2024-03-11,312.5,313.0,304.0,302.3737487792969,12692967,293.2,70.8955,293.2,6.7188,306.6376,279.7624,297.746621557468,295.0483338910864,2.6982876663816455,0.46418265320958174,2.234105013172064,308.0
2024-03-12,310.0,317.5,309.0,306.79156494140625,11740932,294.575,70.6767,294.575,7.6953,309.9656,279.1844,300.0163720870883,296.34104989915403,3.6753221879342846,1.1064105601545222,2.5689116277797623,312.5
2024-03-13,316.5,317.5,312.5,308.7550048828125,12757407,296.0,71.1111,296.0,8.6084,313.2168,278.7832,302.2446225352286,297.6861573140315,4.558465221197082,1.7968214923630343,2.7616437288340476,314.5
2024-03-14,316.5,316.5,309.5,304.8280944824219,9178712,297.15,66.4286,297.15,8.9429,315.0358,279.2642,303.5146806067319,298.6353308463255,4.879349760406399,2.4133271459717074,2.4660226144346913,310.5
2024-03-15,307.0,308.5,301.5,297.465087890625,12754217,298.075,62.4161,298.075,8.512,315.099,281.051,303.435498974927,298.9586396725236,4.476859302403398,2.8260335772580456,1.650825725145352,303.0
2024-03-18,304.0,306.5,303.0,300.4102783203125,5915661,298.8,60.2837,298.8,8.54,315.88,281.72,303.830037594169,299.4802219190033,4.349815675165701,3.1307899968395767,1.219025678326124,306.0
2024-03-19,303.5,322.0,303.5,314.154541015625,20195502,300.2,66.6667,300.2,9.5963,319.3926,281.0074,306.317724118143,301.00020548055863,5.317518637584385,3.5681357249885384,1.7493829125958467,320.0
2024-03-20,320.0,323.5,314.5,310.2276306152344,13513844,301.375,63.4286,301.375,10.0327,321.4404,281.3096,307.80730502304414,302.1113013708876,5.6960036521565485,3.9937093104221404,1.702294341734408,316.0
2024-03-21,317.0,338.0,317.0,331.82574462890625,34760173,303.725,71.7593,303.725,12.6402,329.0054,278.4446,312.4523350194989,304.76972349156256,7.682611527936331,4.731489753924979,2.9511217740113516,338.0
2024-03-22,348.0,365.0,347.5,351.46038818359375,63351844,306.95,75.6972,306.95,17.2733,341.4966,272.4034,319.4596680934221,308.712706936632,10.746961156790121,5.934584034498008,4.812377122292113,358.0
2024-03-25,362.0,365.0,350.5,346.0608825683594,20721428,309.95,73.0769,309.95,19.6749,349.2998,270.6002,324.5427960790495,311.9562101265111,12.586585952538371,7.264984418106081,5.32160153443229,352.5
2024-03-26,350.0,352.0,339.0,337.22528076171875,22050628,312.375,67.7656,312.375,20.6976,353.7702,270.9798,327.459288989965,314.29278715417695,13.16650183578804,8.445287901642473,4.721213934145567,343.5
2024-03-27,349.0,352.0,337.5,335.2618103027344,13322434,315.0,69.8113,315.0,20.9052,356.8104,273.1896,329.61939837612425,316.30813625386753,13.311262122256721,9.418482745765322,3.892779376491399,341.5
2024-03-28,339.0,347.0,338.5,336.2435302734375,9056096,317.4,68.75,317.4,21.1813,359.7626,275.0374,331.601029395182,318.2482743091366,13.35275508604542,10.205337213821343,3.147417872224077,342.5
2024-03-29,346.5,353.5,341.0,335.752685546875,9454000,319.825,69.0196,319.825,21.0771,361.9792,277.6708,333.2008710266925,320.00766139734867,13.193209629343812,10.802911696925838,2.3902979324179743,342.0
2024-04-01,343.5,346.0,333.0,328.3896789550781,12150199,321.875,65.1852,321.875,20.3637,362.6024,281.1476,333.40073702258593,321.081167960508,12.319569062077903,11.106243169956251,1.2133258921216523,334.5
2024-04-02,334.5,339.5,329.0,331.82574462890625,8812613,324.25,67.5277,324.25,19.2515,362.753,285.747,334.1083159421881,322.3344147782482,11.773901163939911,11.239774768752984,0.5341263951869273,338.0
2024-04-03,332.0,335.0,331.0,325.9353332519531,5893050,326.1,63.5036,326.1,18.0318,362.1636,290.0364,333.78395964338995,323.0503840539335,10.73357558945645,11.138534932893677,-0.40495934343722695,332.0
2024-04-08,336.0,341.5,332.5,327.8988037109375,10654070,327.95,63.5036,327.95,16.741,361.432,294.468,333.8171966213299,323.8614667166051,9.95572990472482,10.901973927259906,-0.9462440225350868,334.0
2024-04-09,335.0,337.5,330.0,327.8988037109375,5531984,329.05,59.0164,329.05,16.3562,361.7624,296.3376,333.8453202180484,324.61246918204176,9.23285103600665,10.568149349009255,-1.335298313002605,334.0
2024-04-10,334.5,336.0,328.0,322.0084228515625,6572451,330.05,58.0645,330.05,15.5951,361.2402,298.8598,332.94604018450246,324.8633973907794,8.08264279372304,10.071048037952012,-1.9884052442289732,328.0
2024-04-11,323.5,324.0,315.5,313.6636962890625,14121531,330.4,52.7344,330.4,15.2554,360.9108,299.8892,330.8774186176559,324.46610869516616,6.41130992248975,9.33910041485956,-2.9277904923698106,319.5
2024-04-12,317.0,322.0,316.0,311.2093505859375,8179651,330.525,50.9728,330.525,15.1279,360.7808,300.2692,328.7424311380165,323.9130636066353,4.829367531381195,8.437153838163887,-3.6077863067826925,317.0
2024-04-15,312.0,313.5,307.5,302.3737487792969,9393926,330.4,49.0637,330.4,15.3113,361.0226,299.7774,325.55128788601394,322.734318154292,2.81696973172194,7.313117016875498,-4.496147285153558,308.0
2024-04-16,305.0,306.0,292.5,287.64776611328125,16149891,329.9,46.4539,329.9,16.3792,362.6584,297.1416,320.5433974420118,320.5317760687889,0.01162137322290846,5.852817888144981,-5.841196514922072,293.0
2024-04-17,297.5,301.0,294.5,295.0107421875,9850265,329.625,48.11,329.625,16.8413,363.3076,295.9424,317.45979783554844,319.0479408044341,-1.588142968885677,4.36462571673885,-5.952768685624527,300.5
2024-04-18,300.0,312.5,298.5,303.3554992675781,13827593,329.075,46.0714,329.075,17.3443,363.7636,294.3864,316.1582904762333,318.3036488929946,-2.1453584167613258,3.062628890038815,-5.207987306800141,309.0
2024-04-19,305.0,311.0,295.0,293.04730224609375,13722446,328.2,44.0273,328.2,18.4451,365.0902,291.3098,313.4416304029666,316.83671193795794,-3.395081534991334,1.7710868050327855,-5.16616834002412,298.5
2024-04-22,300.5,303.0,294.0,294.5198974609375,7663871,326.3,34.9206,326.3,19.3189,364.9378,287.6622,311.37368726404867,315.5895480907018,-4.215860826653113,0.5736972786956057,-4.789558105348719,300.0
2024-04-23,303.0,304.5,295.0,292.0655517578125,7696142,323.275,22.1198,323.275,18.8243,360.9236,285.6264,309.2392738388104,314.2495815654646,-5.010307726654219,-0.5431037223743591,-4.46720400427986,297.5
2024-04-24,300.0,305.0,298.5,298.4468078613281,6477064,320.85,27.8539,320.85,17.9657,356.7814,284.9186,308.43323170976265,313.49035330135615,-5.0571215915935,-1.4459072962181874,-3.6112142953753126,304.0
2024-04-25,303.0,311.0,301.0,300.4102783203125,9839162,318.975,31.7073,318.975,17.4261,353.8272,284.1228,308.0588883697992,312.9355123160705,-4.876623946271309,-2.1320506262288115,-2.7445733200424973,306.0
2024-04-26,309.0,319.0,304.0,309.2458801269531,13462374,317.65,37.8995,317.65,16.6117,350.8734,284.4266,309.12675169752237,313.0884373296949,-3.9616856321725322,-2.497977627417556,-1.4637080047549764,315.0
2024-04-29,320.5,323.5,317.0,315.13629150390625,11108134,316.575,40.6114,316.575,15.5828,347.7406,285.4094,310.95340528251893,313.67447900897673,-2.721073726457803,-2.5425968472256053,-0.17847687923219757,321.0
2024-04-30,320.0,326.0,318.0,314.6454162597656,9168151,315.5,40.6114,315.5,14.4359,344.3718,286.6282,312.4221121621314,314.18007315645997,-1.7579609943285845,-2.3856696766462013,0.6277086823176168,320.5
2024-05-02,309.5,313.5,305.0,303.8463439941406,12183392,314.25,39.4068,314.25,13.7712,341.7924,286.7076,311.9725564448804,313.83340107079624,-1.8608446259158313,-2.2807046665001276,0.41986004058429627,309.5
2024-05-03,319.5,333.5,319.0,321.5175476074219,21683530,313.725,46.0377,313.725,12.9964,339.7178,287.7322,314.3613939148988,314.8457417322187,-0.48434781731987187,-1.9214332966640766,1.4370854793442047,327.5
2024-05-06,336.0,336.0,319.5,316.1180114746094,13319894,313.225,46.2121,313.225,12.4367,338.0984,288.3516,315.53656408183747,315.3756867890914,0.1608772927460791,-1.5049711787820457,1.6658484715281248,322.0
2024-05-07,322.5,326.5,320.0,320.0449523925781,6464447,312.825,47.0149,312.825,11.848,336.521,289.129,317.14632345386246,316.1626729528624,0.9836505010000565,-1.0072468428256254,1.9908973438256818,326.0
2024-05-08,325.0,326.5,320.0,315.13629150390625,5413599,312.175,45.3237,312.175,10.9476,334.0702,290.2798,317.73919676865285,316.52099347487257,1.2182032937802774,-0.5621568155044449,1.780360109284722,321.0
2024-05-09,320.0,326.5,320.0,317.0997619628906,4567244,311.925,48.1481,311.925,10.6193,333.1636,290.6864,318.548551111937,317.00091988414124,1.5476312277957618,-0.1401992068444035,1.6878304346401654,323.0
2024-05-10,321.5,323.5,318.0,313.1728210449219,6605839,311.9,49.8084,311.9,10.6011,333.1022,290.6978,318.6180047870236,317.14899989272334,1.4690048943002694,0.1816416133845311,1.2873632809157383,319.0
2024-05-13,316.0,318.0,313.5,310.7184753417969,7082093,311.875,49.8084,311.875,10.5891,333.0532,290.6968,318.29215789671224,317.1009258265957,1.1912320701165413,0.38355970473093315,0.8076723653856082,316.5
2024-05-14,318.0,320.0,315.0,310.2276306152344,3941317,312.275,53.2787,312.275,10.5861,333.4472,291.1028,317.939518220295,317.01937576536636,0.920142454928623,0.49087625477047114,0.42926620015815187,316.0
2024-05-15,319.0,324.0,317.5,313.1728210449219,6397231,313.575,61.8182,313.575,9.6495,332.874,294.276,318.10266926332656,317.1660886716355,0.9365805916910404,0.580017122154585,0.35656346953645535,319.0
2024-05-16,322.0,324.0,319.0,314.154541015625,4572912,314.55,59.4203,314.55,9.2351,333.0202,296.0798,318.39456629973785,317.37600802929217,1.0185582704456806,0.6677253518128041,0.35083291863287647,320.0
2024-05-17,320.0,326.0,319.0,316.60888671875,6769579,315.225,56.9231,315.225,9.3012,333.8274,296.6226,319.02617148439356,317.75556299008537,1.270608494308192,0.7883019803118817,0.4823065139963102,322.5
2024-05-20,322.5,324.0,317.0,312.1910705566406,7917556,316.2,60.6557,316.2,8.4377,333.0754,299.3246,318.868298948333,317.7736694352642,1.09462951306881,0.8495674868632674,0.24506202620554252,318.0
2024-05-21,318.5,322.5,318.0,312.68194580078125,3505355,317.125,60.221,317.125,7.5339,332.1928,302.0572,318.8116375716664,317.8274716993187,0.9841658723476598,0.8764871639601459,0.10767870838751392,318.5
2024-05-22,321.0,329.0,319.0,321.5175476074219,8572037,318.625,65.4639,318.625,6.3076,331.2402,306.0098,320.1483087144869,318.54395527714695,1.6043534373399666,1.0220604186361102,0.5822930187038564,327.5
2024-05-23,327.5,335.0,325.5,323.48101806640625,11081177,319.9,63.7838,319.9,5.7482,331.3964,308.4036,321.5870304507197,319.35551414550645,2.2315163052132334,1.2639515959515348,0.9675647092616986,329.5
2024-05-24,327.0,332.5,325.0,322.0084228515625,7841722,321.0,61.9565,321.0,5.0053,331.0106,310.9894,322.5736411506089,319.9958464310245,2.5777947195844035,1.5267202206781088,1.0510744989062948,328.0
2024-05-27,332.0,348.5,331.0,339.6795959472656,18024622,322.55,65.3465,322.55,7.316,337.182,307.918,326.1776963582075,321.9220800287264,4.255616329481143,2.0724994424387155,2.183116887042427,346.0
2024-05-28,353.0,354.0,346.0,340.17047119140625,14465139,323.825,63.3508,323.825,9.0485,341.922,305.728,329.304204610791,323.74266669326516,5.561537917525811,2.7703071374561348,2.7912307800696765,346.5
2024-05-29,343.5,351.0,340.5,335.2618103027344,10582351,324.875,60.5,324.875,9.8273,344.5296,305.2204,331.1804808245154,325.0580247159863,6.12245610852915,3.440736931670738,2.6817191768584117,341.5
2024-05-30,335.5,336.0,330.0,323.9718933105469,9667565,325.9,60.199,325.9,9.1875,344.275,307.525,330.9988683899746,325.4240969592466,5.574771430727992,3.8675438314821893,1.7072275992458028,330.0
2024-05-31,332.0,334.5,324.0,319.0632019042969,20471487,325.775,48.5714,325.775,9.1816,344.1382,307.4118,330.0759655607477,325.39268236967274,4.683283191074963,4.030691703400745,0.6525914876742185,325.0
2024-06-03,332.5,340.0,328.5,330.843994140625,9056672,326.525,57.9787,326.525,9.4653,345.4556,307.5944,331.141201628325,326.2524836756229,4.888717952702109,4.202296953261018,0.6864209994410908,337.0
2024-06-04,342.0,345.0,334.0,330.3531494140625,11383907,327.05,55.8011,327.05,9.7223,346.4946,307.6054,331.96563214704423,327.0115589589101,4.954073188134146,4.352652200235644,0.6014209878985017,336.5
2024-06-05,337.5,347.0,336.5,339.6795959472656,13179253,328.3,63.1579,328.3,10.4811,349.2622,307.3378,334.1247656628836,328.418110147139,5.706655515744615,4.623452863337438,1.0832026524071763,346.0
2024-06-06,351.5,352.0,343.5,338.6978759765625,10257557,329.4,61.7021,329.4,11.0353,351.4706,307.3294,335.79787863782457,329.64639828438794,6.151480353436625,4.929058361357276,1.222421992079349,345.0
2024-06-07,343.0,345.0,339.0,338.6978759765625,7913632,330.7,64.4444,330.7,11.2746,353.2492,308.1508,337.2135896166208,330.78370211517404,6.429887501446785,5.229224189375178,1.2006633120716073,345.0
2024-06-11,335.0,343.0,332.0,334.2800598144531,11064870,331.9,63.0435,331.9,10.9564,353.8128,309.9872,337.7191912140638,331.50342788442043,6.21576332964338,5.426532017428818,0.7892313122145618,340.5
2024-06-12,342.5,351.5,342.5,337.71612548828125,10540277,333.3,64.7368,333.3,10.6009,354.5018,312.0982,338.68546948882323,332.42909989298187,6.256369595841363,5.592499533111328,0.6638700627300356,344.0
2024-06-13,348.0,354.0,341.5,347.0426025390625,14755006,335.025,66.9951,335.025,10.9526,356.9302,313.1198,340.9646280290043,333.9899073083165,6.974720720687799,5.868943770626622,1.105776950061177,353.5
2024-06-14,357.0,357.5,350.0,347.0426025390625,9740263,336.7,66.6667,336.7,11.0946,358.8892,314.5108,342.89314679377287,335.4350993595523,7.458047434220589,6.186764503345415,1.2712829308751736,353.5
2024-06-17,358.5,362.5,349.0,345.57000732421875,15084073,338.175,64.8241,338.175,11.0683,360.3116,316.0384,344.2942011331925,336.6621290366225,7.632072096569971,6.4758260219903265,1.1562460745796441,352.0
2024-06-18,345.5,351.5,343.5,348.0,11058221,339.675,65.1515,339.675,10.1881,360.0512,319.2988,344.8643240357782,337.501971330206,7.362352705572221,6.653131358706706,0.7092213468655144,348.0
2024-06-19,358.0,371.0,356.5,367.0,27262125,342.1,70.6383,342.1,10.6445,363.389,320.811,348.2698126456585,339.68701049093147,8.582802154727005,7.039065517910767,1.5437366368162388,367.0
2024-06-20,368.5,371.0,364.0,369.5,15658314,344.2,68.9189,344.2,11.7029,367.6058,320.7942,351.5359953155572,341.89538008419584,9.64061523136138,7.55937546060089,2.08123977076049,369.5
2024-06-21,367.0,387.5,363.0,383.0,27328765,346.875,71.8367,346.875,14.0459,374.9668,318.7832,356.3766114208561,344.9401667446258,11.43644467623028,8.334789303726769,3.1016553725035116,383.0
2024-06-24,378.0,382.0,372.5,376.5,14788504,349.3,69.0196,349.3,14.783,378.866,319.734,359.472517356109,347.27793217094984,12.194585185159156,9.106748480013247,3.087836705145909,376.5
2024-06-25,375.0,391.5,369.5,387.0,19342112,351.35,67.0833,351.35,16.9807,385.3114,317.3886,363.7075146859384,350.2203075656943,13.48720712024408,9.982840208059415,3.504366912184665,387.0
2024-06-26,387.0,392.5,383.5,385.0,13606956,353.275,65.8436,353.275,18.5149,390.3048,316.2452,366.9832816573325,352.7965810793466,14.186700577985903,10.823612282044714,3.363088295941189,385.0
2024-06-27,383.0,387.5,381.0,386.5,8110428,355.525,69.0678,355.525,19.7047,394.9344,316.1156,369.98585371005055,355.29313062902463,14.692723081025918,11.597434441840955,3.0952886391849628,386.5
2024-06-28,388.0,396.0,387.0,387.5,14517508,358.4,76.7442,358.4,19.9774,398.3548,318.4452,372.6803377546582,357.6788246565043,15.001513098153907,12.278250173103546,2.7232629250503617,387.5
2024-07-01,388.5,396.0,385.0,390.5,8171543,361.675,81.0427,361.675,19.5786,400.8322,322.5178,375.42182425394157,360.11002283009657,15.311801423844997,12.884960423251837,2.4268410005931607,390.5
2024-07-02,384.0,388.5,382.0,383.0,10480225,363.975,72.7723,363.975,19.2261,402.4272,325.5228,376.58769744564285,361.8055766945339,14.782120751108948,13.264392488823258,1.51772826228569,383.0
2024-07-03,383.0,386.0,377.0,379.5,10079137,366.125,70.6731,366.125,18.3775,402.88,329.37,377.035743992467,363.116274717161,13.919469275306028,13.395407846119813,0.5240614291862151,379.5
2024-07-04,382.0,388.0,379.5,382.0,8370304,367.925,68.5567,367.925,18.063,404.051,331.799,377.79947568593366,364.5150691825565,13.28440650337717,13.373207577571286,-0.08880107419411587,382.0
2024-07-05,385.0,392.5,384.0,387.0,11011210,370.025,70.7921,370.025,17.6951,405.4152,334.6348,379.2149409650208,366.18061961347826,13.03432135154253,13.305430332365535,-0.27110898082300494,387.0
2024-07-08,385.5,404.0,385.0,402.0,19276224,372.875,74.569,372.875,18.0393,408.9536,336.7964,382.7203346627099,368.8339070495169,13.886427613193007,13.42162978853103,0.46479782466197683,402.0
2024-07-09,400.0,413.0,396.0,410.0,18394935,376.35,79.0795,376.35,18.1681,412.6862,340.0138,386.9172062530622,371.8832472680712,15.033958984990988,13.744095627823022,1.2898633571679667,410.0
2024-07-10,412.5,422.5,410.0,420.5,16984440,380.175,80.2372,380.175,19.0313,418.2376,342.1124,392.08378990643723,375.48448821117705,16.59930169526018,14.315136841310455,2.2841648539497257,420.5
2024-07-11,420.5,435.0,416.5,434.0,14686355,384.2,80.8429,384.2,21.4515,427.103,341.297,398.5324376131392,379.8189705659047,18.71346704723453,15.19480288249527,3.51866416473926,434.0
2024-07-12,423.5,428.0,420.0,422.0,11593686,387.625,74.0351,387.625,21.7582,431.1414,344.1086,402.1428318265024,382.94349126472656,19.19934056177584,15.995710418351385,3.2036301434244567,422.0
2024-07-15,421.0,424.0,412.0,415.0,9957443,390.775,71.2838,390.775,20.8715,432.518,349.032,404.1208576993482,385.31804746733945,18.802810232008767,16.557130381082864,2.245679850925903,415.0
2024-07-16,408.0,417.5,408.0,412.5,9149976,394.0,72.0137,394.0,18.7939,431.5878,356.4122,405.4099565148331,387.3315254327217,18.078431082111365,16.861390521288566,1.2170405608227988,412.5
2024-07-17,410.0,415.0,407.0,411.0,8138419,396.2,67.0543,396.2,18.0266,432.2532,360.1468,406.26996320485875,389.0847457710386,17.185217433820128,16.92615590379488,0.25906153002524945,411.0
2024-07-18,399.0,405.0,396.0,401.5,12596981,397.8,61.7647,397.8,16.9181,431.6362,363.9638,405.53612271180356,390.0043942324432,15.531728479360368,16.64727041890798,-1.1155419395476116,401.5
2024-07-19,396.0,403.0,393.5,399.0,9753619,398.6,56.4,398.6,16.5558,431.7116,365.4884,404.5305653715261,390.67073540041036,13.859829971115744,16.089782329349532,-2.2299523582337883,399.0
2024-07-22,394.5,396.0,372.0,373.5,16977855,398.45,48.9583,398.45,16.7787,432.0074,364.8926,399.75663223744516,389.39882907445406,10.357803162991104,14.943386496077848,-4.585583333086744,373.5
